symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
HSIC,2024-08-27,70.82,72.3,70.46,72.16,3025727
HSIC,2024-08-28,68.61,71.1,68.61,70.48,1605500
HSIC,2024-08-29,71.17,71.67,70.39,70.82,1876121
HSIC,2024-08-30,70.82,71.61,70.06,70.55,1150307
HSIC,2024-09-03,70.39,71.05,70.25,70.46,1741100
HSIC,2024-09-04,70.46,70.58,69.13,69.45,1151735
HSIC,2024-09-05,69.69,70.23,68.62,69.86,1249200
HSIC,2024-09-06,70.18,70.5,68.8,68.81,2175000
HSIC,2024-09-09,68.98,69.58,67.72,68.89,1586907
HSIC,2024-09-10,68.51,69.02,67.0,67.55,3823200
HSIC,2024-09-11,67.35,67.35,65.32,67.05,3377713
HSIC,2024-09-12,67.28,68.21,66.83,68.17,1277900
HSIC,2024-09-13,68.57,71.31,68.46,70.38,1339611
HSIC,2024-09-16,70.88,71.41,68.89,69.87,1460400
HSIC,2024-09-17,70.39,71.89,70.02,71.24,1742400
HSIC,2024-09-18,71.01,72.65,70.57,72.46,1579200
HSIC,2024-09-19,73.25,73.66,72.35,72.54,1887500
HSIC,2024-09-20,72.31,72.38,71.14,71.15,2822343
HSIC,2024-09-23,71.44,72.54,71.27,71.63,2979247
HSIC,2024-09-24,71.84,72.22,70.51,70.7,761886
HSIC,2024-09-25,70.88,70.88,69.15,69.83,1305000
HSIC,2024-09-26,70.15,71.29,70.15,70.86,2460934
HSIC,2024-09-27,71.42,73.62,71.21,73.22,2482500
HSIC,2024-09-30,73.34,73.58,72.45,72.9,1380003
HSIC,2024-10-01,72.39,72.82,70.98,71.94,987565
HSIC,2024-10-02,71.46,71.83,70.82,71.21,1484211
HSIC,2024-10-03,70.88,71.44,69.7,70.54,1172836
HSIC,2024-10-04,71.45,71.45,70.17,70.56,692300
HSIC,2024-10-07,70.19,70.69,69.2,69.3,918935
HSIC,2024-10-08,69.34,70.25,68.86,69.99,581300
HSIC,2024-10-09,70.23,71.13,70.03,70.51,666744
HSIC,2024-10-10,70.38,70.51,69.7,70.04,684232
HSIC,2024-10-11,70.26,71.01,70.13,70.53,2704200
HSIC,2024-10-14,70.79,71.11,70.01,71.01,960217
HSIC,2024-10-15,70.87,72.13,70.16,71.1,1631639
HSIC,2024-10-16,71.25,72.45,70.73,71.75,964700
HSIC,2024-10-17,71.63,72.21,71.11,71.67,721820
HSIC,2024-10-18,71.56,72.51,70.81,72.39,688200
HSIC,2024-10-21,72.19,72.53,71.37,71.59,735500
HSIC,2024-10-22,71.4,71.6,70.26,71.19,578544
HSIC,2024-10-23,70.98,71.23,69.63,70.22,1859137
HSIC,2024-10-24,70.91,71.44,70.31,70.88,2199400
HSIC,2024-10-25,70.99,71.2,69.65,70.0,742601
HSIC,2024-10-28,70.3,71.28,70.3,71.11,757408
HSIC,2024-10-29,70.6,71.58,70.07,70.38,1540925
HSIC,2024-10-30,70.15,71.08,70.14,70.64,1797247
HSIC,2024-10-31,70.74,71.15,70.15,70.23,1141700
HSIC,2024-11-01,70.05,71.42,70.05,70.37,1742400
HSIC,2024-11-04,71.0,72.48,70.45,72.33,2236717
HSIC,2024-11-05,70.96,71.0,67.46,68.99,3563674
HSIC,2024-11-06,71.0,71.35,69.42,70.01,3119700
HSIC,2024-11-07,70.84,70.84,67.99,69.43,1949105
HSIC,2024-11-08,69.2,69.38,67.91,68.0,871840
HSIC,2024-11-11,68.31,69.05,67.99,68.29,1093001
HSIC,2024-11-12,67.84,68.53,67.33,67.46,943800
HSIC,2024-11-13,67.15,67.86,66.76,67.74,947823
HSIC,2024-11-14,67.69,67.78,66.5,66.54,1480004
HSIC,2024-11-15,66.54,68.8,66.17,68.76,2510300
HSIC,2024-11-18,68.88,75.8,68.72,73.89,3565900
HSIC,2024-11-19,73.69,76.84,73.25,74.84,3299606
HSIC,2024-11-20,74.93,75.49,72.79,73.73,3170765
HSIC,2024-11-21,73.6,73.97,71.98,73.77,1568442
HSIC,2024-11-22,74.0,75.19,73.25,75.08,3384500
HSIC,2024-11-25,75.99,77.6,75.99,76.84,2611430
HSIC,2024-11-26,76.55,77.37,75.26,77.28,2207700
HSIC,2024-11-27,77.64,78.97,76.86,77.66,832800
HSIC,2024-11-29,77.72,77.99,77.0,77.05,608600
HSIC,2024-12-02,76.94,77.19,76.03,76.5,1522900
HSIC,2024-12-03,76.08,76.39,74.94,75.21,1449944
HSIC,2024-12-04,74.33,75.21,73.93,74.49,947300
HSIC,2024-12-05,74.49,74.65,71.94,72.49,1382407
HSIC,2024-12-06,72.61,73.18,71.96,73.0,2086443
HSIC,2024-12-09,73.03,76.12,72.37,74.98,1728313
HSIC,2024-12-10,74.98,75.61,73.26,74.73,1184000
HSIC,2024-12-11,75.41,78.35,74.73,76.85,1962528
HSIC,2024-12-12,76.85,77.58,76.46,77.03,1838700
HSIC,2024-12-13,77.22,77.23,75.71,76.6,1850700
HSIC,2024-12-16,76.49,77.46,75.07,75.14,1619034
HSIC,2024-12-17,75.25,75.45,73.13,73.18,1507200
HSIC,2024-12-18,73.16,73.44,70.58,70.61,1777222
HSIC,2024-12-19,70.15,70.61,68.47,68.95,1522418
HSIC,2024-12-20,68.95,70.33,68.43,69.82,2761500
HSIC,2024-12-23,69.59,70.75,69.46,70.06,1111918
HSIC,2024-12-24,69.95,70.24,69.44,70.01,421009
HSIC,2024-12-26,70.0,72.54,69.76,70.97,851500
HSIC,2024-12-27,70.27,71.13,69.84,70.42,501200
HSIC,2024-12-30,70.1,70.1,68.84,69.17,655300
HSIC,2024-12-31,69.32,70.03,68.76,69.2,553500
HSIC,2025-01-02,69.68,69.86,67.86,68.55,885300
HSIC,2025-01-03,68.6,69.39,68.32,69.09,803700
HSIC,2025-01-06,71.59,72.57,70.82,71.76,1297700
HSIC,2025-01-07,71.93,72.67,71.1,71.67,1074518
HSIC,2025-01-08,71.61,71.84,70.18,71.06,901100
HSIC,2025-01-10,70.58,70.98,69.63,69.67,1096036
HSIC,2025-01-13,69.64,71.03,69.1,70.7,608600
HSIC,2025-01-14,71.13,71.55,70.61,71.27,900010
HSIC,2025-01-15,72.34,72.44,70.87,71.15,981737
HSIC,2025-01-16,71.0,72.14,70.35,71.75,990200
HSIC,2025-01-17,72.23,73.55,71.44,73.22,1074000
HSIC,2025-01-21,73.77,74.98,73.45,74.19,2021200
HSIC,2025-01-22,73.52,75.07,73.21,74.78,985700
HSIC,2025-01-23,75.37,75.66,73.72,74.75,1017300
HSIC,2025-01-24,74.34,75.08,72.74,74.97,814700
HSIC,2025-01-27,75.67,77.08,74.6,76.69,1380538
HSIC,2025-01-28,76.84,77.0,75.77,76.1,1017405
HSIC,2025-01-29,77.5,81.85,77.5,79.87,6094300
HSIC,2025-01-30,80.46,80.93,79.33,80.03,2350518
HSIC,2025-01-31,79.77,81.01,79.13,80.0,1282001
HSIC,2025-02-03,78.64,80.52,78.57,79.57,2921732
HSIC,2025-02-04,78.9,80.64,78.9,80.58,1499135
HSIC,2025-02-05,80.98,82.49,80.79,81.91,1315857
HSIC,2025-02-06,82.0,82.38,79.76,79.85,1148702
HSIC,2025-02-07,79.71,80.1,78.68,79.0,1141300
HSIC,2025-02-10,79.01,79.43,78.5,78.9,2346828
HSIC,2025-02-11,77.99,78.86,76.88,77.48,1267948
HSIC,2025-02-12,75.77,77.25,75.77,77.2,1154912
HSIC,2025-02-13,77.39,78.11,77.22,77.62,1507800
HSIC,2025-02-14,77.51,77.52,75.89,76.0,1455207
HSIC,2025-02-18,75.57,77.7,75.57,77.63,2573709
HSIC,2025-02-19,77.19,77.91,76.85,77.83,988147
HSIC,2025-02-20,78.0,78.69,77.38,78.05,1103700
HSIC,2025-02-21,78.15,78.61,76.92,77.24,3295300
HSIC,2025-02-24,77.14,78.23,76.51,77.64,3517554
HSIC,2025-02-25,80.56,80.56,73.25,75.82,3585729
HSIC,2025-02-26,75.88,76.43,72.23,72.55,3903405
HSIC,2025-02-27,72.43,73.26,71.68,72.12,4222400
HSIC,2025-02-28,72.23,72.7,71.56,72.17,11190766
HSIC,2025-03-03,72.17,72.97,70.61,70.81,2245643
HSIC,2025-03-04,70.31,70.95,69.51,70.31,2361500
HSIC,2025-03-05,70.08,71.72,69.04,71.46,2532300
HSIC,2025-03-06,71.07,73.06,70.42,72.96,2575100
HSIC,2025-03-07,72.44,75.13,71.48,74.59,2145400
HSIC,2025-03-10,74.37,77.83,73.65,75.45,3053869
HSIC,2025-03-11,75.35,75.77,72.87,72.92,1844800
HSIC,2025-03-12,72.73,72.92,69.9,69.94,1561905
HSIC,2025-03-13,69.75,70.94,69.18,69.81,1631800
HSIC,2025-03-14,69.89,70.73,69.47,70.58,1443100
HSIC,2025-03-17,70.38,72.42,70.2,71.8,2009600
HSIC,2025-03-18,71.6,72.09,71.2,72.0,832415
HSIC,2025-03-19,71.69,72.26,70.7,70.84,2352243
HSIC,2025-03-20,70.65,71.42,70.36,70.45,1151604
HSIC,2025-03-21,69.88,69.94,68.77,69.39,1475964
HSIC,2025-03-24,70.14,70.81,69.67,70.76,780046
HSIC,2025-03-25,70.82,70.82,69.06,69.38,1295928
HSIC,2025-03-26,69.45,70.15,69.05,69.75,922242
HSIC,2025-03-27,69.72,69.75,69.08,69.4,1228332
HSIC,2025-03-28,69.24,69.84,68.55,68.62,1028800
HSIC,2025-03-31,68.59,68.93,67.69,68.49,1253224
HSIC,2025-04-01,68.55,69.54,67.91,69.07,1243207
HSIC,2025-04-02,68.3,69.71,68.3,69.25,1172777
HSIC,2025-04-03,68.51,69.22,66.12,66.59,1250200
HSIC,2025-04-04,65.55,66.36,63.0,65.47,2362500
HSIC,2025-04-07,63.12,65.64,61.89,64.31,2594625
