symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
INCY,2024-08-27,65.32,65.7,64.9,65.63,1493200
INCY,2024-08-28,65.52,65.91,65.32,65.64,1321539
INCY,2024-08-29,65.8,67.48,65.1,65.91,1490621
INCY,2024-08-30,65.91,66.33,64.99,65.66,2548307
INCY,2024-09-03,65.76,67.09,65.26,66.31,1969900
INCY,2024-09-04,66.42,66.75,64.13,64.33,2071007
INCY,2024-09-05,64.32,64.85,61.15,62.96,2303935
INCY,2024-09-06,63.2,63.76,61.19,61.26,1785900
INCY,2024-09-09,61.48,62.83,61.19,62.26,1792922
INCY,2024-09-10,62.19,63.34,61.45,63.13,1720200
INCY,2024-09-11,63.04,63.16,61.67,63.13,1574242
INCY,2024-09-12,62.94,63.46,61.63,63.36,1417600
INCY,2024-09-13,63.37,64.17,63.07,63.56,2021400
INCY,2024-09-16,63.94,66.48,63.9,66.41,1859600
INCY,2024-09-17,66.42,67.74,66.19,66.43,1658200
INCY,2024-09-18,65.25,66.08,64.38,65.17,2858106
INCY,2024-09-19,66.22,66.95,65.27,66.82,2077700
INCY,2024-09-20,66.2,66.2,64.99,65.74,7670507
INCY,2024-09-23,65.97,65.97,64.07,64.12,2033047
INCY,2024-09-24,64.15,64.2,62.96,63.7,2036200
INCY,2024-09-25,64.12,64.59,62.57,63.22,1580000
INCY,2024-09-26,63.1,65.21,62.86,65.13,1987400
INCY,2024-09-27,65.64,66.79,65.63,65.83,1590323
INCY,2024-09-30,65.4,66.96,65.27,66.1,1622200
INCY,2024-10-01,66.68,68.17,65.99,68.06,2737008
INCY,2024-10-02,67.68,67.82,66.26,67.63,1348917
INCY,2024-10-03,67.28,67.98,66.83,67.04,1426500
INCY,2024-10-04,67.37,67.56,66.45,67.49,1236700
INCY,2024-10-07,67.36,67.47,65.7,65.76,1529443
INCY,2024-10-08,65.58,66.31,65.46,65.74,1010335
INCY,2024-10-09,65.63,66.52,65.24,65.76,1017803
INCY,2024-10-10,65.3,65.5,64.59,65.37,1101100
INCY,2024-10-11,65.49,66.25,65.38,66.12,1592804
INCY,2024-10-14,65.79,65.79,64.93,65.44,748200
INCY,2024-10-15,65.89,67.06,65.68,66.29,1178600
INCY,2024-10-16,66.38,66.61,65.93,66.17,857238
INCY,2024-10-17,65.99,66.49,65.44,66.43,1355900
INCY,2024-10-18,66.41,66.95,65.9,66.39,742400
INCY,2024-10-21,66.33,66.55,64.87,65.27,841024
INCY,2024-10-22,65.03,65.78,64.6,65.59,735418
INCY,2024-10-23,65.49,66.1,64.76,65.17,1251934
INCY,2024-10-24,65.24,65.91,65.08,65.24,1208613
INCY,2024-10-25,65.32,65.74,64.99,65.07,1086400
INCY,2024-10-28,65.49,65.88,64.86,65.69,2067365
INCY,2024-10-29,67.53,74.07,66.95,73.6,4572090
INCY,2024-10-30,73.6,74.6,72.5,73.93,2459007
INCY,2024-10-31,73.91,74.68,73.28,74.12,2024300
INCY,2024-11-01,74.12,76.33,73.91,76.13,2261700
INCY,2024-11-04,75.07,76.57,75.07,75.75,1463500
INCY,2024-11-05,75.77,77.37,75.34,77.28,1251667
INCY,2024-11-06,78.45,82.19,78.21,80.95,5292100
INCY,2024-11-07,81.0,82.97,79.53,82.34,2636685
INCY,2024-11-08,82.59,83.95,82.15,83.38,3235745
INCY,2024-11-11,83.54,83.54,81.16,81.53,1881000
INCY,2024-11-12,81.55,82.02,80.2,80.58,1843166
INCY,2024-11-13,80.8,81.7,80.37,80.48,1573215
INCY,2024-11-14,80.16,80.46,77.58,77.73,1875800
INCY,2024-11-15,77.15,77.87,73.25,75.87,3842709
INCY,2024-11-18,75.89,77.01,75.42,76.97,1843600
INCY,2024-11-19,67.11,74.1,65.02,70.56,10883836
INCY,2024-11-20,70.66,71.68,70.25,71.05,2312400
INCY,2024-11-21,71.33,71.4,69.3,70.39,2145323
INCY,2024-11-22,70.43,72.0,70.33,71.72,1521900
INCY,2024-11-25,72.34,73.87,72.25,73.52,3350936
INCY,2024-11-26,74.14,74.95,73.1,74.8,1475653
INCY,2024-11-27,75.0,76.14,74.75,75.45,1150800
INCY,2024-11-29,75.71,76.08,74.22,74.59,797636
INCY,2024-12-02,74.28,74.7,72.64,73.24,1737300
INCY,2024-12-03,72.73,72.96,71.72,72.03,1667700
INCY,2024-12-04,73.4,75.32,73.34,74.62,2615152
INCY,2024-12-05,73.02,75.37,72.87,74.92,1760600
INCY,2024-12-06,75.27,76.46,75.02,75.92,1322445
INCY,2024-12-09,75.94,75.98,71.8,72.11,1758125
INCY,2024-12-10,72.11,73.1,71.35,72.48,2406800
INCY,2024-12-11,72.65,73.5,72.1,72.49,1425614
INCY,2024-12-12,70.5,72.11,70.48,70.83,1387900
INCY,2024-12-13,70.64,70.79,68.52,68.55,1769106
INCY,2024-12-16,69.31,70.88,68.62,69.8,2836000
INCY,2024-12-17,68.78,69.74,68.51,69.4,1971500
INCY,2024-12-18,69.18,69.63,67.55,67.55,1897851
INCY,2024-12-19,68.64,68.64,66.33,67.06,2028314
INCY,2024-12-20,66.89,69.11,66.89,68.84,6805500
INCY,2024-12-23,68.58,70.19,68.15,69.84,1611109
INCY,2024-12-24,69.88,70.1,68.92,69.91,395905
INCY,2024-12-26,69.52,70.11,69.25,69.56,764511
INCY,2024-12-27,68.71,69.9,68.19,69.23,966400
INCY,2024-12-30,68.56,68.87,67.7,68.42,825919
INCY,2024-12-31,68.54,69.2,68.19,69.07,1010137
INCY,2025-01-02,69.67,70.27,68.92,69.53,1061837
INCY,2025-01-03,69.76,70.44,69.35,69.63,1542700
INCY,2025-01-06,69.45,72.79,69.45,71.91,1931700
INCY,2025-01-07,73.06,75.04,72.46,73.19,1852842
INCY,2025-01-08,73.19,74.01,72.85,73.13,1571275
INCY,2025-01-10,72.21,72.6,69.53,70.54,2046000
INCY,2025-01-13,70.54,72.94,69.65,72.37,1602128
INCY,2025-01-14,72.34,72.93,71.22,71.93,1595917
INCY,2025-01-15,72.96,73.83,72.21,72.46,1101900
INCY,2025-01-16,72.51,72.98,71.72,72.47,1100000
INCY,2025-01-17,72.87,73.0,71.85,71.93,1013332
INCY,2025-01-21,72.21,73.98,71.85,73.47,1867900
INCY,2025-01-22,73.47,73.55,71.97,72.41,1165716
INCY,2025-01-23,72.32,72.88,71.05,72.53,1042544
INCY,2025-01-24,72.3,73.68,72.29,72.59,1274821
INCY,2025-01-27,72.29,73.43,71.36,72.64,1070718
INCY,2025-01-28,72.69,73.99,71.85,73.15,995241
INCY,2025-01-29,73.22,74.11,72.67,73.72,1246600
INCY,2025-01-30,74.16,74.56,73.29,73.77,1307847
INCY,2025-01-31,73.76,75.18,73.1,74.16,1294600
INCY,2025-02-03,73.56,75.0,72.6,73.74,1315800
INCY,2025-02-04,73.51,74.92,73.19,74.12,1269846
INCY,2025-02-05,74.78,75.74,74.19,75.26,1461907
INCY,2025-02-06,75.02,75.49,74.14,74.95,1340478
INCY,2025-02-07,75.37,76.96,73.79,74.13,2484835
INCY,2025-02-10,73.01,73.42,67.56,68.3,3787100
INCY,2025-02-11,67.52,68.69,66.26,66.33,2845900
INCY,2025-02-12,66.3,69.1,65.56,69.05,2075629
INCY,2025-02-13,69.29,72.69,68.03,70.01,3248200
INCY,2025-02-14,70.65,71.8,69.73,70.42,1882100
INCY,2025-02-18,70.71,71.68,70.5,71.27,1463130
INCY,2025-02-19,70.93,71.43,69.75,70.16,1810900
INCY,2025-02-20,70.26,71.52,69.89,71.38,1017900
INCY,2025-02-21,71.66,72.97,71.5,72.11,1514741
INCY,2025-02-24,72.19,74.36,71.76,74.01,1582042
INCY,2025-02-25,74.36,76.24,73.76,74.4,2066836
INCY,2025-02-26,74.07,75.31,73.24,74.3,1164400
INCY,2025-02-27,73.92,74.6,72.89,73.18,1220107
INCY,2025-02-28,73.56,73.63,72.41,73.5,1489135
