symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
IQV,2024-08-27,247.18,248.89,245.56,248.6,911637
IQV,2024-08-28,248.47,250.78,246.13,247.55,727038
IQV,2024-08-29,249.21,252.88,248.17,250.79,754100
IQV,2024-08-30,251.01,251.96,246.85,251.55,1194435
IQV,2024-09-03,249.03,252.69,247.04,248.81,1229911
IQV,2024-09-04,249.32,250.46,246.41,248.84,1059848
IQV,2024-09-05,249.54,249.54,244.4,248.14,786400
IQV,2024-09-06,248.2,249.44,241.95,243.07,919808
IQV,2024-09-09,244.89,245.57,238.98,240.87,2118910
IQV,2024-09-10,240.86,244.63,230.46,235.2,2371420
IQV,2024-09-11,234.47,237.74,230.24,237.3,1227500
IQV,2024-09-12,237.32,239.74,234.5,238.4,1406500
IQV,2024-09-13,238.97,240.62,237.19,238.7,1144738
IQV,2024-09-16,240.7,242.04,237.8,239.38,1031700
IQV,2024-09-17,242.1,243.89,238.11,239.98,1427204
IQV,2024-09-18,240.85,246.36,238.82,242.67,1584417
IQV,2024-09-19,247.45,248.03,243.65,244.62,1168500
IQV,2024-09-20,242.0,243.33,239.02,242.12,3159620
IQV,2024-09-23,244.6,245.2,240.28,240.73,742109
IQV,2024-09-24,241.36,241.88,237.35,239.57,1053800
IQV,2024-09-25,238.56,238.56,230.0,231.71,1302100
IQV,2024-09-26,234.77,236.99,233.21,236.23,718100
IQV,2024-09-27,237.02,237.26,233.37,234.79,858579
IQV,2024-09-30,233.61,237.3,233.61,236.97,724025
IQV,2024-10-01,236.28,237.13,231.06,231.37,803658
IQV,2024-10-02,229.94,233.91,228.2,231.76,795600
IQV,2024-10-03,230.79,230.79,226.82,227.4,854300
IQV,2024-10-04,230.88,231.06,228.01,229.84,591239
IQV,2024-10-07,227.24,227.48,224.41,225.36,975739
IQV,2024-10-08,225.05,227.79,225.05,226.72,885110
IQV,2024-10-09,227.52,229.88,226.6,228.79,673945
IQV,2024-10-10,227.0,232.85,226.15,230.25,718719
IQV,2024-10-11,229.97,232.49,228.96,229.26,971331
IQV,2024-10-14,229.28,233.57,228.66,233.22,711744
IQV,2024-10-15,233.8,237.34,231.84,232.98,1087500
IQV,2024-10-16,231.37,233.72,229.8,233.06,870108
IQV,2024-10-17,235.54,236.45,232.89,233.89,914636
IQV,2024-10-18,235.08,237.21,232.05,236.69,810936
IQV,2024-10-21,235.03,235.32,230.16,231.19,846236
IQV,2024-10-22,228.04,230.15,223.0,228.3,953972
IQV,2024-10-23,228.79,231.34,225.93,228.31,865503
IQV,2024-10-24,223.97,224.32,209.17,211.71,2286500
IQV,2024-10-25,213.25,217.51,213.0,214.63,1012728
IQV,2024-10-28,217.45,218.6,215.0,217.54,1073306
IQV,2024-10-29,216.41,217.5,215.02,216.34,1579200
IQV,2024-10-30,215.44,219.1,214.21,216.04,1409962
IQV,2024-10-31,200.3,211.42,200.3,205.82,3271600
IQV,2024-11-01,205.94,210.28,205.94,209.16,1791900
IQV,2024-11-04,203.25,211.0,203.0,210.19,2098747
IQV,2024-11-05,208.98,213.79,207.95,212.87,1125730
IQV,2024-11-06,222.01,222.01,213.09,221.25,2064230
IQV,2024-11-07,222.04,225.91,217.09,217.68,1774648
IQV,2024-11-08,217.47,222.04,216.74,219.23,1418430
IQV,2024-11-11,219.55,221.54,216.91,216.99,1729700
IQV,2024-11-12,217.54,219.83,213.4,213.57,2045600
IQV,2024-11-13,214.44,217.41,203.3,211.51,3191000
IQV,2024-11-14,211.04,212.27,202.17,202.94,3287959
IQV,2024-11-15,202.02,202.02,189.63,192.68,4579136
IQV,2024-11-18,191.41,194.35,187.62,191.04,3144500
IQV,2024-11-19,189.05,194.48,189.05,191.33,3035600
IQV,2024-11-20,191.35,194.46,190.17,194.38,2639858
IQV,2024-11-21,195.17,197.93,191.82,197.6,1858637
IQV,2024-11-22,197.03,203.02,196.33,201.82,1887846
IQV,2024-11-25,203.48,206.96,203.14,204.02,2222306
IQV,2024-11-26,201.1,202.32,198.48,201.23,1370076
IQV,2024-11-27,202.06,204.3,200.8,201.43,822837
